id,forename,surname,date_of_birth,sex
572907,Alice,Brown,1966-01-31,F
859451,Alice,Wilson,1984-01-14,M
355366,Grace,Williams,,M
512925,Eva,Williams,1975-02-16,
664465,Alice,Brown,1976-11-05,M
136482,David,Smith,1995-12-07,M
306083,Isabella,Moore,2004-04-04,F
833004,,,1969-09-14,M
686160,Henry,Davis,1970-10-15,F
296886,Jack,Williams,1993-02-12,M
222929,Henry,Brown,1959-04-24,F
443988,Bob,Wilson,1935-09-06,F
214565,Eva,Davis,1969-08-15,M
120953,Liam,Smith,1947-06-13,M
796738,Henry,Williams,2004-07-14,M
632939,Grace,Brown,1969-09-04,M
109846,Liam,Miller,1953-12-09,F
236266,Charlie,Miller,1943-04-02,M
688160,Eva,Williams,1954-03-15,F
641800,,Wilson,1976-07-18,F
119660,Jack,Williams,1953-10-13,F
672685,Eva,Davis,1947-12-23,F
464626,Eva,Johnson,2004-02-27,F
943865,David,Davis,1992-04-11,F
895939,Isabella,Jones,1941-06-29,M
366174,David,Wilson,2004-12-01,M
869124,Henry,Wilson,1979-07-04,M
205889,Bob,,1975-05-26,F
253246,Eva,Williams,1976-07-04,M
275223,David,Johnson,1944-06-26,M
211039,Jack,Davis,2004-02-02,F
390962,Jack,Moore,1955-05-03,F
998518,Henry,Smith,1957-09-24,F
410194,Liam,Moore,2000-09-01,M
770676,Jack,Miller,1945-04-30,M
756518,Eva,Davis,1986-07-16,M
348443,Liam,Miller,1995-11-12,M
960745,Eva,Brown,1948-11-28,F
367949,Bob,,1984-04-14,M
366654,Eva,Moore,,F
457024,Bob,Wilson,,F
353038,Eva,Johnson,2000-06-05,M
383163,David,Moore,1977-06-23,M
912731,Charlie,Williams,1946-11-11,M
264825,Jack,Williams,1980-11-16,F
203099,Alice,Wilson,1977-11-05,M
126584,Bob,Smith,1994-05-22,M
254649,Eva,Johnson,1996-08-05,
149910,Henry,Smith,1981-07-01,M
363648,Grace,Davis,1978-10-15,F
859748,Eva,Taylor,,F
167137,Charlie,Smith,1966-09-23,F
851083,Alice,Smith,1960-11-17,M
422860,Bob,Wilson,1949-06-10,F
232005,Charlie,Brown,1944-12-21,F
582507,Grace,Jones,1999-04-29,F
402325,Charlie,Williams,1946-09-28,F
607716,Alice,Miller,1973-07-10,F
708459,Bob,Jones,1949-08-28,F
193493,Eva,Brown,1983-04-22,
349451,Isabella,Brown,1988-12-25,M
329551,Isabella,Taylor,1935-03-02,F
727772,Liam,Wilson,1967-01-27,M
501888,Bob,,1951-02-05,F
686410,Henry,Williams,1953-03-24,F
545638,Bob,Jones,1941-01-18,F
614669,,Smith,1962-07-22,F
190051,Alice,Jones,2003-03-28,F
417596,,Wilson,1977-04-18,
190570,Jack,Moore,1930-06-01,F
935642,Eva,Johnson,1961-09-16,
251099,Jack,Miller,1987-04-18,F
361204,Jack,Johnson,,F
161795,Jack,Moore,2004-11-20,F
982870,Jack,Miller,1935-05-17,F
160599,David,Miller,1952-05-17,M
377204,Liam,Johnson,1999-03-04,F
907403,Grace,Jones,1954-04-27,M
600973,,Smith,1982-10-17,M
856193,Henry,Davis,1963-06-20,F
934068,David,Davis,1941-01-02,M
151613,Charlie,Jones,1991-07-15,F
289637,David,Jones,1987-05-09,M
524437,Bob,Wilson,1988-12-21,F
974283,Liam,Davis,1981-06-20,M
234955,David,Johnson,2005-08-01,F
425394,Charlie,Wilson,1951-11-25,F
505113,Charlie,Wilson,1980-09-23,M
620685,Jack,Williams,1931-11-21,M
462230,Liam,Jones,1955-05-04,M
741652,David,Smith,1940-02-01,F
624791,Grace,Williams,1961-05-07,F
479462,Liam,,1981-02-28,M
995602,Bob,Moore,1963-12-09,F
326395,Isabella,Taylor,1996-08-29,F
538259,Eva,Brown,1999-10-08,M
571970,Alice,Jones,1949-07-12,M
379014,Jack,Smith,1943-02-26,M
628484,David,Taylor,2004-07-31,F
119253,Bob,Johnson,2003-05-17,F
